merchant_id,merchant_name,merchant_category,merchant_city,merchant_risk_rating
M0457,Merchant_0457,E_COMMERCE,Delhi,LOW
M0458,Merchant_0458,FUEL,Hyderabad,MEDIUM
M0459,Merchant_0459,TRAVEL,Chennai,LOW
M0460,Merchant_0460,RESTAURANT,Ahmedabad,LOW
M0461,Merchant_0461,UTILITIES,Pune,MEDIUM
M0462,Merchant_0462,FUEL,Hyderabad,LOW
M0463,Merchant_0463,ENTERTAINMENT,Kolkata,MEDIUM
M0464,Merchant_0464,TRAVEL,Chennai,MEDIUM
M0465,Merchant_0465,ENTERTAINMENT,Bangalore,MEDIUM
M0466,Merchant_0466,HEALTHCARE,Delhi,HIGH
M0467,Merchant_0467,FUEL,Chennai,LOW
M0468,Merchant_0468,RESTAURANT,Hyderabad,MEDIUM
M0469,Merchant_0469,EDUCATION,Bangalore,LOW
M0470,Merchant_0470,RESTAURANT,Kolkata,MEDIUM
M0471,Merchant_0471,HEALTHCARE,Bangalore,LOW
M0472,Merchant_0472,ENTERTAINMENT,Kolkata,LOW
M0473,Merchant_0473,TRAVEL,Kolkata,LOW
M0474,Merchant_0474,GROCERY,Delhi,MEDIUM
M0475,Merchant_0475,RESTAURANT,Mumbai,MEDIUM
M0476,Merchant_0476,RESTAURANT,Bangalore,LOW
M0477,Merchant_0477,GROCERY,Delhi,LOW
M0478,Merchant_0478,E_COMMERCE,Bangalore,LOW
M0479,Merchant_0479,EDUCATION,Kolkata,MEDIUM
M0480,Merchant_0480,GROCERY,Kolkata,LOW
M0481,Merchant_0481,FUEL,Hyderabad,LOW
M0482,Merchant_0482,FUEL,Kolkata,MEDIUM
M0483,Merchant_0483,HEALTHCARE,Bangalore,LOW
M0484,Merchant_0484,UTILITIES,Kolkata,LOW
M0485,Merchant_0485,ELECTRONICS,Delhi,LOW
M0486,Merchant_0486,HEALTHCARE,Pune,LOW
M0487,Merchant_0487,RESTAURANT,Kolkata,LOW
M0488,Merchant_0488,HEALTHCARE,Pune,LOW
M0489,Merchant_0489,ENTERTAINMENT,Ahmedabad,LOW
M0490,Merchant_0490,E_COMMERCE,Chennai,HIGH
M0491,Merchant_0491,FUEL,Kolkata,MEDIUM
M0492,Merchant_0492,RESTAURANT,Delhi,MEDIUM
M0493,Merchant_0493,RESTAURANT,Bangalore,LOW
M0494,Merchant_0494,GROCERY,Mumbai,LOW
M0495,Merchant_0495,TRAVEL,Kolkata,MEDIUM
M0496,Merchant_0496,TRAVEL,Ahmedabad,LOW
M0497,Merchant_0497,E_COMMERCE,Mumbai,LOW
M0498,Merchant_0498,E_COMMERCE,Mumbai,MEDIUM
M0499,Merchant_0499,GROCERY,Delhi,LOW
M0500,Merchant_0500,UTILITIES,Bangalore,LOW
